Ref,Val,Package,PosX,PosY,Rot,Side
"D_out_temp_w_0","LED red 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.110000,-118.840000,0.000000,top
"D_vcc_0","LED green 2.0V/20mA","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",6.310000,-88.360000,0.000000,top
"R_d_in_acc_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",67.310000,-58.420000,0.000000,top
"R_d_in_acc_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.790000,-68.580000,180.000000,top
"R_d_in_bus1_one_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",72.390000,-93.440000,0.000000,top
"R_d_in_bus1_ps_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",72.390000,-88.360000,180.000000,top
"R_d_in_clk_manual_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",34.290000,-137.160000,0.000000,top
"R_d_in_iar_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",50.800000,-36.830000,0.000000,top
"R_d_in_iar_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.790000,-48.260000,180.000000,top
"R_d_in_ir_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",67.580000,-50.800000,0.000000,top
"R_d_in_ir_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.790000,-58.420000,180.000000,top
"R_d_in_is_bus1_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",57.110000,-85.090000,0.000000,top
"R_d_in_is_clk_external_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",66.040000,-139.160000,180.000000,top
"R_d_in_is_clk_high_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",66.040000,-144.240000,180.000000,top
"R_d_in_is_clk_low_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",66.040000,-149.320000,180.000000,top
"R_d_in_is_clk_manual_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",66.040000,-154.400000,180.000000,top
"R_d_in_is_clk_veryhigh_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",66.040000,-134.080000,180.000000,top
"R_d_in_manual_input_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",22.860000,-59.690000,0.000000,top
"R_d_in_none_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",35.290000,-38.100000,0.000000,top
"R_d_in_r0_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",54.610000,-74.930000,0.000000,top
"R_d_in_r0_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.190000,-58.420000,180.000000,top
"R_d_in_r1_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",44.450000,-77.470000,0.000000,top
"R_d_in_r1_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.190000,-68.580000,180.000000,top
"R_d_in_r2_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",34.250000,-77.470000,0.000000,top
"R_d_in_r2_w_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.190000,-78.740000,180.000000,top
"R_d_in_r3_r_0","68R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",26.670000,-67.310000,0.000000,top
