"null","Sourced","Placed","References","Value","Footprint"
252,"✓","","U1_clk_select_0","SPFT_Sliding_Switch-dynacore","SW_Sliding_5Pos"
253,"✓","","SW_in_acc_w_0","SW_DPDT_x2","Tactile_6PIN_SPDT_8.5x8.5mm"
254,"✓","","SW_in_bus1_0","SW_DPDT_x2","Tactile_6PIN_SPDT_8.5x8.5mm"
255,"✓","","SW_in_iar_w_0","SW_DPDT_x2","Tactile_6PIN_SPDT_8.5x8.5mm"
256,"✓","","SW_in_ir_w_0","SW_DPDT_x2","Tactile_6PIN_SPDT_8.5x8.5mm"
257,"✓","","SW_in_is_bus1_w_0","SW_DPDT_x2","Tactile_6PIN_SPDT_8.5x8.5mm"
258,"✓","","SW_in_r0_w_0","SW_DPDT_x2","Tactile_6PIN_SPDT_8.5x8.5mm"
259,"✓","","SW_in_r1_w_0","SW_DPDT_x2","Tactile_6PIN_SPDT_8.5x8.5mm"
260,"✓","","SW_in_r2_w_0","SW_DPDT_x2","Tactile_6PIN_SPDT_8.5x8.5mm"
261,"✓","","SW_in_r3_w_0","SW_DPDT_x2","Tactile_6PIN_SPDT_8.5x8.5mm"
262,"✓","","SW_in_ram_a_w_0","SW_DPDT_x2","Tactile_6PIN_SPDT_8.5x8.5mm"
263,"✓","","SW_in_ram_w_0","SW_DPDT_x2","Tactile_6PIN_SPDT_8.5x8.5mm"
264,"✓","","SW_in_read_reg_en_0","SW_DPDT_x2","Tactile_6PIN_SPDT_8.5x8.5mm"
265,"✓","","SW_in_temp_w_0","SW_DPDT_x2","Tactile_6PIN_SPDT_8.5x8.5mm"
266,"✓","","SW_in_write_reg_en_0","SW_DPDT_x2","Tactile_6PIN_SPDT_8.5x8.5mm"
267,"✓","","SW_pwr_0","SW_DPDT_x2","Tactile_6PIN_SPDT_8.5x8.5mm"
268,"✓","","SW_in_clk_manual_0","SW_Push","SPST_Square"
269,"✓","","SW_reset_0","SW_Push","SW_PUSH_6mm_H9.5mm"
270,"✓","","SW_read_register_0","SW_Rotary12","SR26 1-1-12P"
271,"✓","","SW_in_manual_input_o_0","SW_SPDT","SW_SPDT_Small"
272,"✓","","SW_in_manual_input_o_1","SW_SPDT","SW_SPDT_Small"
273,"✓","","SW_in_manual_input_o_2","SW_SPDT","SW_SPDT_Small"
274,"✓","","SW_in_manual_input_o_3","SW_SPDT","SW_SPDT_Small"
275,"✓","","SW_in_manual_input_o_4","SW_SPDT","SW_SPDT_Small"
276,"✓","","SW_in_manual_input_o_5","SW_SPDT","SW_SPDT_Small"
277,"✓","","SW_in_manual_input_o_6","SW_SPDT","SW_SPDT_Small"
278,"✓","","SW_in_manual_input_o_7","SW_SPDT","SW_SPDT_Small"
279,"✓","","J_pwr_0","USB_A","USB_A_Molex_105057_Vertical"
280,"✓","","U_FPGA_0","XC3S250E-4TQG144C","TQFP-144_20x20mm_P0.5mm"
281,"✓","","P_JTAG_FLASH_0","Xilinx_JTAG","IDC-Header_2x07_P2.54mm_Vertical"
282,"✓","","P_JTAG_FPGA_0","Xilinx_JTAG","IDC-Header_2x07_P2.54mm_Vertical"
